Easting (m),Northing (m),Elevation (m),Date_Time (Local)(UTC+8),Diplacement (m),Diplacement (mm),Cummulative Diplacement (mm),Velocity (mm/day),ID,RiskRating,Area
58619.86778,12880.21362,5324.701751,01-07-25,0.009261203,9.261202952,9.261202952,0.246265683,S2-5324E008,Creeping,S2
58569.0625,12718.0067,5325.312298,01-07-25,0.005518892,5.518892169,5.518892169,0.160369277,S2-5324E010,Creeping,S2
58316.3664,12894.02164,5325.643564,13-07-25,0.023353388,23.35338818,6.255829083,-0.772902288,S2-5324W006,Creeping,S2
58629.15708,12862.72229,5349.692671,01-07-25,0.00915009,9.150089653,9.150089653,0.283303449,S2-5348E012,Creeping,S2
58267.25047,12874.86635,5349.34345,13-07-25,0.047685831,47.68583142,21.48988759,-0.97550456,S2-5348W020,Creeping,S2
58639.38093,12847.64918,5373.303297,01-07-25,0.001682667,1.682667066,20.45782824,0.235038249,S2-5372E008,Apparent Regressive,S2
58556.35528,12623.09583,5373.153719,01-07-25,0.007006583,7.006583006,7.006583006,-0.002194335,S2-5372E013,Creeping,S2
58490.98017,12583.41612,5373.6653,01-07-25,0.004390242,4.390242062,4.390242062,0.203252646,S2-5372E015,Creeping,S2
58215.11849,13206.49414,5373.02871,13-07-25,0.036119678,36.11967789,7.274452345,-0.581468511,S2-5372W009,Creeping,S2
58192.39141,13192.70154,5396.859492,13-07-25,0.034558306,34.55830595,12.53438251,-1.407961661,S2-5396W008,Creeping,S2
58768.51011,12721.99315,5493.342211,01-07-25,0.005518458,5.51845777,5.51845777,0.160514077,S2-5492E003,Creeping,S2
58878.1023,13156.39407,5301.534474,01-07-25,0.006799959,6.799958764,25.51130189,0.066680412,W5-5300E001,Apparent Regressive,W5
58577.13493,13410.9361,5302.413714,01-07-25,0.010074117,10.07411663,40.13075317,-0.024705542,W5-5300N002,Apparent Regressive,W5
58616.91521,13380.18197,5301.394152,01-07-25,0.009264964,9.264964422,52.34306731,0.245011859,W5-5300N003,Apparent Regressive,W5
58669.94621,13298.91814,5302.61289,01-07-25,0.02102929,21.02928982,79.75179982,0.32357006,W5-5300N004,Apparent Regressive,W5
58900.30971,13135.73322,5313.668323,01-07-25,0.006041527,6.041526558,32.30641718,0.319491147,W5-5312E002,Apparent Regressive,W5
58711.18531,13274.63728,5326.690616,01-07-25,0.118861921,118.8619215,78.39914337,0.379359505,W5-5324N001,Apparent Regressive,W5
58762.57329,13244.0615,5326.520195,01-07-25,0.147712551,147.7125513,103.6593515,0.09581624,W5-5324N002,Apparent Regressive,W5
58802.37881,13221.27665,5325.993796,01-07-25,0.082321541,82.32154071,56.0121637,-0.107180238,W5-5324N003,Apparent Regressive,W5
58855.3045,13204.18724,5325.46129,01-07-25,0.03590742,35.90742027,18.49660827,0.03085991,W5-5324N004,Apparent Regressive,W5
58927.74647,13201.75623,5324.769371,01-07-25,0.15658264,156.5826403,83.48484442,-0.194213444,W5-5324N005,Apparent Regressive,W5
58711.36488,13344.45169,5337.608041,01-07-25,0.051518363,51.51836285,35.23221216,0.493879049,W5-5336E004,Creeping,W5
58909.3046,13122.02653,5349.867903,01-07-25,0.040966275,40.96627542,26.96627542,0.344574859,W5-5348E008,Creeping,W5
58771.51929,12969.25915,5349.276616,01-07-25,0.019136828,19.13682791,14.13682791,-0.045609305,W5-5348E012,Apparent Regressive,W5
58689.88584,13400.15749,5361.374948,01-07-25,0.028958522,28.95852153,14.48799862,0.34715949,W5-5360E002,Creeping,W5
58720.26216,13356.99828,5361.647054,01-07-25,0.032693784,32.693784,18.87346849,0.435405334,W5-5360E003,Creeping,W5
58758.15335,13312.55022,5362.417918,01-07-25,0.039221403,39.2214035,22.83171167,0.259532168,W5-5360E004,Creeping,W5
58976.55855,13200.90176,5373.443777,01-07-25,0.035038341,35.03834055,17.03834055,0.32055315,W5-5372E007,Creeping,W5
58859.32813,13043.224,5373.211238,01-07-25,0.081592312,81.59231201,12.59231201,0.135895998,W5-5372E009,Creeping,W5
